amie,nom_institucion_educativa,te_fin,nom_estado_ie,nom_sostenimiento,oferta_1,oferta_2,oferta_3,oferta_4,nom_lengua,regimen,jurisdiccion,da_zona,da_dist,nom_distrito,dpa_parroq,dpa_despar,dpa_canton,dpa_descan,dpa_provin,dpa_despro,dpa_anio,txt,dpa_cab
17H04609,CENTRO DE EDUCACIÓN INICIAL “GROW HAPPY”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170350,MACHACHI,1703,MEJÍA,17,PICHINCHA,2023,CABECERA CANTONAL,
17H04610,UNIDAD EDUCATIVA “ISRAEL DEL VALLE”,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170503,SAN RAFAEL,1705,RUMIÑAHUI,17,PICHINCHA,2023,PARROQUIA URBANA,170550.0
14H00834,CENTRO DE EDUCACIÓN INICIAL PASITOS GIGANTES,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,6,14D01,MORONA,140150,MACAS,1401,MORONA,14,MORONA SANTIAGO,2023,CABECERA CANTONAL,
09H06804,UNIDAD EDUCATIVA MONTE DE LOS OLIVOS,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D24,DURAN,90750,ELOY ALFARO,907,DURÁN,9,GUAYAS,2023,CABECERA CANTONAL,90750.0
09H06807,UNIDAD EDUCATIVA PCEI CARLOS AURELIO RUBIRA INFANTE,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,COSTA,INTERCULTURAL,8,09D08,MONTE SINAI,90115,PASCUALES,901,GUAYAQUIL,9,GUAYAS,2023,PARROQUIA URBANA,90150.0
01H02075,UNIDAD EDUCATIVA SIMÓN BOLÍVAR,MATRIZ,ACTIVA,PARTICULAR,,,ESCOLARIDAD,,ESPAÑOL,SIERRA,INTERCULTURAL,6,01D01,CUENCA 1,10104,EL SAGRARIO,101,CUENCA,1,AZUAY,2023,PARROQUIA URBANA,10150.0
17H04611,UNIDAD EDUCATIVA “JUNIOR SCHOOL”,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170502,SAN PEDRO DE TABOADA,1705,RUMIÑAHUI,17,PICHINCHA,2023,PARROQUIA URBANA,170550.0
18H01009,"CENTRO DE EDUCACIÓN INICIAL ""CLUB DE EMOCIONES""",MATRIZ,ACTIVA,PARTICULAR,,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,3,18D02,AMBATO 2,180103,HUACHI CHICO,1801,AMBATO,18,TUNGURAHUA,2023,PARROQUIA URBANA,180150.0
14H00835,CENTRO DE EDUCACIÓN INICIAL BB HAPPY,MATRIZ,ACTIVA,PARTICULAR,ORDINARIA,,,NO ESCOLARIZADA,ESPAÑOL,SIERRA,INTERCULTURAL,6,14D01,MORONA,140150,MACAS,1401,MORONA,14,MORONA SANTIAGO,2023,CABECERA CANTONAL,
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170351,ALOAG,1703,MEJÍA,17,PICHINCHA,2023,PARROQUIA RURAL,
17H02275,"UNIDAD EDUCATIVA ""ALÓAG""",ESTABLECIMIENTO,ACTIVA,FISCAL,ORDINARIA,,,,ESPAÑOL,SIERRA,INTERCULTURAL,2,17D11,MEJIA - RUMIÑAHUI,170351,ALOAG,1703,MEJÍA,17,PICHINCHA,2023,PARROQUIA RURAL,
