No_,EOD,REPOSITORI,DA_ZONA,DA_DIST,NOM_DISTRI,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,txt,fcode,DPA_CAB,X,Y,Longitud,Latitud
6.000000,Museo Nacional del Ecuador MUNA,Museo y Complejo Cultural Fábrica Textil Imbabura,1.000000,"10D02",OTAVALO - ANTONIO ANTE,100201.000000,ANDRADE MARÍN  (LOURDES),1002.000000,ANTONIO ANTE,10.000000,IMBABURA,2023.000000,PARROQUIA URBANA,HA004,100250.000000,810575.919815,10035411.876200,-78.21000000000,0.32000000026
11.000000,Museo y Parque Arqueológico Pumapungo,Museo de Sitio y Parque Arqueológico Pumapungo,6.000000,"01D02",CUENCA 2,10107.000000,HUAYNACÁPAC,101.000000,CUENCA,1.000000,AZUAY,2023.000000,PARROQUIA URBANA,HA004,10150.000000,722310.088883,9678157.750120,-79.00000000000,-2.90999999997
1.000000,Museo Nacional del Ecuador MUNA,Museo Nacional del Ecuador,9.000000,"17D04",CENTRO,170113.000000,ITCHIMBIA,1701.000000,DISTRITO METROPOLITANO DE QUITO,17.000000,PICHINCHA,2023.000000,PARROQUIA URBANA,HA004,170150.000000,778274.457821,9976766.427160,-78.50000000000,-0.20999999996
2.000000,Museo Nacional del Ecuador MUNA,Museo Camilo Egas,9.000000,"17D04",CENTRO,170103.000000,CENTRO HISTÓRICO,1701.000000,DISTRITO METROPOLITANO DE QUITO,17.000000,PICHINCHA,2023.000000,PARROQUIA URBANA,HA004,170150.000000,777160.472127,9975660.252810,-78.51000000000,-0.22000000000
3.000000,Museo Nacional del Ecuador MUNA,Centro Cívico Cultural Museo y Biblioteca Mariscal Sucre,9.000000,"17D06",ELOY ALFARO,170131.000000,SOLANDA,1701.000000,DISTRITO METROPOLITANO DE QUITO,17.000000,PICHINCHA,2023.000000,PARROQUIA URBANA,HA004,170150.000000,772704.099907,9969023.078340,-78.55000000000,-0.27999999996
18.000000,Archivo Histórico Nacional,Archivo Histórico Nacional,9.000000,"17D04",CENTRO,170130.000000,SAN JUAN,1701.000000,DISTRITO METROPOLITANO DE QUITO,17.000000,PICHINCHA,2023.000000,PARROQUIA URBANA,HA004,170150.000000,777160.652663,9976766.605040,-78.51000000000,-0.20999999998
20.000000,Biblioteca Nacional Eugenio Espejo,Biblioteca Nacional Eugenio Espejo,9.000000,"17D04",CENTRO,170113.000000,ITCHIMBIA,1701.000000,DISTRITO METROPOLITANO DE QUITO,17.000000,PICHINCHA,2023.000000,PARROQUIA URBANA,HA004,170150.000000,778274.276558,9975660.066460,-78.50000000000,-0.21999999998
4.000000,Museo Nacional del Ecuador MUNA,Museo y Centro Cultural de Esmeraldas,1.000000,"08D01",ESMERALDAS,80103.000000,ESMERALDAS,801.000000,ESMERALDAS,8.000000,ESMERALDAS,2023.000000,PARROQUIA URBANA,HA004,80150.000000,650213.802078,10107244.210300,-79.65000000000,0.97000000044
7.000000,Museo Antropológico de Arte Contemporáneo MAAC,Museo Antropológico y de Arte Contemporáneo,8.000000,"09D05",TARQUI,90112.000000,TARQUI,901.000000,GUAYAQUIL,9.000000,GUAYAS,2023.000000,PARROQUIA URBANA,HA004,90150.000000,624546.325300,9758997.023010,-79.88000000000,-2.17999999999
8.000000,Museo Antropológico de Arte Contemporáneo MAAC,Museo Nahim Isaias,8.000000,"09D03",CENTRO,90103.000000,CARBO (CONCEPCIÓN),901.000000,GUAYAQUIL,9.000000,GUAYAS,2023.000000,PARROQUIA URBANA,HA004,90150.000000,624545.501265,9757891.494400,-79.88000000000,-2.18999999998
