codigo_ies,nombre_ies,tipo_finan,tipo,base,x,y,dpa_parroq,dpa_despar,dpa_canton,dpa_descan,dpa_provin,dpa_despro,dpa_anio,txt,fcode,dpa_cab,da_dist,da_zona,longitud,latitud
1001.0,ESCUELA POLITECNICA NACIONAL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779316.38807,9976504.93582,170123.0,MARISCAL SUCRE,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.490645,-0.21236200004
1002.0,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,758329.269073,9816663.83033,60101.0,LIZARZABURU,601.0,RIOBAMBA,6.0,CHIMBORAZO,2023.0,PARROQUIA URBANA,HA004,60150.0,06D01,3.0,-78.678134,-1.65732500001
1003.0,ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,590553.165185,9908638.68152,131552.0,ÁNGEL PEDRO GILER,1315.0,TOSAGUA,13.0,MANABÍ,2023.0,PARROQUIA RURAL,HA004,,13D12,4.0,-80.186165,-0.82649000004
1005.0,UNIVERSIDAD CENTRAL DEL ECUADOR,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,778045.283454,9977781.88007,170101.0,BELISARIO QUEVEDO,1701.0,DISTRITO METROPOLITANO DE QUITO,17.0,PICHINCHA,2023.0,PARROQUIA URBANA,HA004,170150.0,17D05,9.0,-78.502059,-0.20082200004
1006.0,UNIVERSIDAD DE GUAYAQUIL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,622468.617885,9758885.90255,90112.0,TARQUI,901.0,GUAYAQUIL,9.0,GUAYAS,2023.0,PARROQUIA URBANA,HA004,90150.0,09D05,8.0,-79.898681,-2.18101899996
1007.0,UNIVERSIDAD DE CUENCA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,721162.49443,9679163.8064,10112.0,SUCRE,101.0,CUENCA,1.0,AZUAY,2023.0,PARROQUIA URBANA,HA004,10150.0,01D02,6.0,-79.010336,-2.90092200004
1008.0,UNIVERSIDAD NACIONAL DE LOJA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,699453.426744,9553750.26745,110106.0,PUNZARA,1101.0,LOJA,11.0,LOJA,2023.0,PARROQUIA URBANA,HA004,110150.0,11D01,7.0,-79.203431,-4.03530299999
1009.0,UNIVERSIDAD TECNICA DE MANABI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,560618.375661,9884356.30553,130102.0,12 DE MARZO,1301.0,PORTOVIEJO,13.0,MANABÍ,2023.0,PARROQUIA URBANA,HA004,130150.0,13D01,4.0,-80.455156,-1.04621600002
1010.0,UNIVERSIDAD TECNICA DE AMBATO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,764182.973273,9859579.92333,180102.0,CELIANO MONGE,1801.0,AMBATO,18.0,TUNGURAHUA,2023.0,PARROQUIA URBANA,HA004,180150.0,18D02,3.0,-78.625959,-1.269325
1011.0,UNIVERSIDAD TECNICA DE MACHALA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,616367.813829,9639129.07644,70101.0,LA PROVIDENCIA,701.0,MACHALA,7.0,EL ORO,2023.0,PARROQUIA URBANA,HA004,70150.0,07D02,7.0,-79.952602,-3.264329
