CODIGO_IES,NOMBRE_IES,TIPO_FINAN,TIPO,BASE,X,Y,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,txt,fcode,DPA_CAB,DA_DIST,DA_ZONA,Longitud,Latitud
1001.000000,ESCUELA POLITECNICA NACIONAL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779316.388070,9976504.935820,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.49064500000,-0.21236200004
1002.000000,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,758329.269073,9816663.830330,"060101",LIZARZABURU,"0601",RIOBAMBA,"06",CHIMBORAZO,"2023",PARROQUIA URBANA,HA004,"060150","06D01",3.000000,-78.67813400000,-1.65732500001
1003.000000,ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,590553.165185,9908638.681520,"131552",ÁNGEL PEDRO GILER,"1315",TOSAGUA,"13",MANABÍ,"2023",PARROQUIA RURAL,HA004,,"13D12",4.000000,-80.18616500000,-0.82649000004
1005.000000,UNIVERSIDAD CENTRAL DEL ECUADOR,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,778045.283454,9977781.880070,"170101",BELISARIO QUEVEDO,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.50205900000,-0.20082200004
1006.000000,UNIVERSIDAD DE GUAYAQUIL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,622468.617885,9758885.902550,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D05",8.000000,-79.89868100000,-2.18101899996
1007.000000,UNIVERSIDAD DE CUENCA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,721162.494430,9679163.806400,"010112",SUCRE,"0101",CUENCA,"01",AZUAY,"2023",PARROQUIA URBANA,HA004,"010150","01D02",6.000000,-79.01033600000,-2.90092200004
1008.000000,UNIVERSIDAD NACIONAL DE LOJA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,699453.426744,9553750.267450,"110106",PUNZARA,"1101",LOJA,"11",LOJA,"2023",PARROQUIA URBANA,HA004,"110150","11D01",7.000000,-79.20343100000,-4.03530299999
1009.000000,UNIVERSIDAD TECNICA DE MANABI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,560618.375661,9884356.305530,"130102",12 DE MARZO,"1301",PORTOVIEJO,"13",MANABÍ,"2023",PARROQUIA URBANA,HA004,"130150","13D01",4.000000,-80.45515600000,-1.04621600002
1010.000000,UNIVERSIDAD TECNICA DE AMBATO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,764182.973273,9859579.923330,"180102",CELIANO MONGE,"1801",AMBATO,"18",TUNGURAHUA,"2023",PARROQUIA URBANA,HA004,"180150","18D02",3.000000,-78.62595900000,-1.26932500000
1011.000000,UNIVERSIDAD TECNICA DE MACHALA,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,616367.813829,9639129.076440,"070101",LA PROVIDENCIA,"0701",MACHALA,"07",EL ORO,"2023",PARROQUIA URBANA,HA004,"070150","07D02",7.000000,-79.95260200000,-3.26432900000
